#id;moral;MF1;Confidence1;MF2;Confidence2;MF3;Confidence3
arg219206;y;care;6;purity;8;;
arg219225;y;loyalty;6;;;;
arg219242;y;loyalty;2;;;;
arg219244;y;care;3;;;;
arg219245;n;;;;;;
arg219250;y;purity;8;;;;
arg219258;y;care;8;;;;
arg219259;n;;;;;;
arg219268;n;;;;;;
arg219293;y;purity;7;;;;
arg219204;y;purity;9;;;;
arg219210;n;;3;;;;
arg219213;y;purity;7;;;;
arg219220;y;care;7;purity;7;;
arg219227;y;purity;8;;;;
arg219232;n;;;;;;
arg219233;y;purity;8;care;8;;
arg219254;y;fairness;7;;;;
arg219261;n;;;;;;
arg219292;n;;;;;;
arg229241;y;None;4;;;;
arg229484;n;;6;;;;
arg231491;n;;6;;;;
arg231620;n;;8;;;;
arg240623;y;fairness;5;;;;
arg240625;n;;6;;;;
arg246334;y;loyalty;7;fairness;6;;
arg270902;y;care;8;fairness;8;;
arg439197;n;;6;;;;
arg575745;y;fairness;6;purity;3;;
arg229317;y;purity;8;;;;
arg230311;y;purity;8;;;;
arg234318;y;care;6;;;;
arg236317;y;authority;7;;;;
arg236641;y;purity;8;;;;
arg244440;y;purity;8;;;;
arg289787;y;purity;7;;;;
arg317490;y;purity;7;;;;
arg636360;y;purity;7;;;;
arg644073;y;care;9;;;;
12567;y;fairness;6;;;;
12580;n;;3;;;;
12589;n;;3;;;;
12592;n;;3;;;;
28068;n;;3;;;;
44125;n;;3;;;;
68938;n;;3;;;;
70818;n;;3;;;;
70855;y;purity;6;;;;
71559;y;purity;6;;;;
578317615;y;care;7;;;;
794;n;;7;;;;
79918;n;;6;;;;
800;y;fairness;8;;;;
804;n;;7;;;;
80854;n;;7;;;;
814;y;fairness;7;;;;
817;n;;6;;;;
822;n;;6;;;;
823;y;purity;7;;;;
33757;n;;7;;;;
389;y;fairness;5;;;;
390;n;;7;;;;
405;n;;7;;;;
415;n;;7;;;;
458;n;;7;;;;
460;n;;7;;;;
468;y;loyalty;7;;;;
477;n;;7;;;;
76359;n;;7;;;;
12365;n;;7;;;;
12367;n;;7;;;;
12371;n;;7;;;;
12380;n;;7;;;;
12383;n;;7;;;;
12388;n;;7;;;;
33187;n;;7;;;;
65125;n;;7;;;;
65191;n;;7;;;;
71467;n;;7;;;;
30529;y;fairness;8;;;;
33506;y;fairness;8;;;;
46238;y;purity;8;loyalty;8;fairness;8
530;y;fairness;8;care;7;;
541;y;purity;6;;;;
63084;y;fairness;7;;;;
67160;y;fairness;8;;;;
73625;y;care;7;fairness;8;authority;6
76758;y;purity;8;fairness;7;care;8
80510;y;fairness;8;;;;
12402;y;None;;;;;
12414;y;purity;9;authority;7;;
12421;y;authority;6;;;;
12430;y;purity;7;authority;8;;
12431;y;fairness;6;;;;
12466;y;purity;8;;;;
31527;y;authority;7;;;;
42624;y;purity;8;care;7;;
69708;y;purity;8;;;;
76796;y;authority;5;purity;7;;
arg334934;y;care;8;;;;
arg334943;n;;3;;;;
arg334968;y;care;8;;;;
arg335030;y;authority;7;;;;
arg335091;y;authority;6;;;;
arg335095;y;authority;6;;;;
arg335129;y;None;5;;;;
arg335564;y;care;8;authority;3;;
arg336179;y;care;8;;;;
arg336204;y;authority;6;care;6;;
arg334884;y;authority;8;;;;
arg334924;y;authority;8;;;;
arg334959;y;authority;8;;;;
arg334973;y;authority;8;;;;
arg335047;y;authority;8;;;;
arg335089;y;authority;8;;;;
arg335090;y;authority;8;;;;
arg335097;y;authority;8;;;;
arg336222;y;authority;8;authority;8;;
arg336563;y;authority;8;;;;
arg33226;y;loyalty;8;;;;
arg33233;y;loyalty;8;;;;
arg33243;y;loyalty;7;;;;
arg33270;y;loyalty;8;;;;
arg33279;y;None;6;;;;
arg33285;y;loyalty;7;;;;
arg33288;y;loyalty;6;;;;
arg33298;y;loyalty;6;care;7;;
arg33319;y;care;6;;;;
arg33341;y;loyalty;7;;;;
arg33261;y;fairness;6;;;;
arg33272;y;care;7;purity;7;;
arg33280;y;purity;6;care;7;;
arg33282;y;care;7;;;;
arg33284;y;care;7;purity;6;;
arg33289;y;purity;8;care;7;;
arg33293;y;purity;6;;;;
arg33323;y;purity;6;;;;
arg33339;y;purity;6;care;7;;
arg33342;y;care;7;;;;
arg108959;n;;6;;;;
arg108968;y;authority;6;;;;
arg118518;y;fairness;6;;;;
arg118660;y;loyalty;8;authority;6;;
arg122478;y;fairness;8;;;;
arg126375;y;None;5;;;;
arg132199;y;care;4;;;;
arg145468;y;care;4;;;;
arg155750;n;;7;;;;
arg649666;n;;7;;;;
arg106091;n;;7;;;;
arg106426;y;authority;3;;;;
arg116888;y;authority;7;care;6;;
arg123380;y;authority;7;;;;
arg126374;y;authority;7;;;;
arg126378;n;;7;;;;
arg132483;y;None;6;;;;
arg260216;y;None;6;;;;
arg596217;y;authority;7;;;;
arg623493;y;fairness;6;;;;
arg35591;y;care;7;;;;
arg35616;y;care;7;;;;
arg35622;y;care;7;;;;
arg35632;y;care;7;;;;
arg35669;y;care;6;;;;
arg35705;y;care;6;;;;
arg35706;y;care;6;;;;
arg35718;y;care;7;;;;
arg35748;y;care;7;;;;
arg35758;y;care;7;;;;
arg35584;y;care;7;;;;
arg35615;y;loyalty;7;;;;
arg35619;y;care;7;;;;
arg35635;y;care;7;;;;
arg35650;y;care;6;;;;
arg35676;y;care;7;;;;
arg35698;y;care;7;;;;
arg35700;y;care;7;;;;
arg35720;y;care;7;;;;
arg35726;y;care;7;;;;
13989;y;purity;6;;;;
13993;y;purity;3;;;;
13998;y;None;6;;;;
14000;y;fairness;6;purity;5;;
14002;y;fairness;6;purity;5;;
14003;y;care;7;;;;
14007;y;purity;7;;;;
37675;y;fairness;5;;;;
54763;y;care;7;;;;
73596;y;None;5;;;;
1191878965;y;purity;7;;;;
2137504198;y;purity;8;care;8;;
27868;y;care;8;;;;
29278;y;purity;7;care;7;;
29393;y;care;7;;;;
39342;y;purity;7;care;6;;
54187;y;purity;8;care;8;;
71821;y;purity;8;;;;
71943;y;purity;7;;;;
79734;y;None;6;;;;
arg198954;y;care;7;;;;
arg199159;y;care;5;authority;6;;
arg199549;y;care;7;;;;
arg200706;y;care;6;;;;
arg231770;y;None;5;;;;
arg238468;y;authority;8;;;;
arg238471;y;fairness;7;loyalty;7;;
arg238473;y;purity;7;;;;
arg251309;y;care;5;;;;
arg336277;y;care;7;;;;
arg198376;y;fairness;6;;;;
arg198417;n;;;;;;
arg200133;y;None;3;;;;
arg203869;y;fairness;7;;;;
arg203922;y;fairness;7;purity;5;;
arg212151;y;care;7;;;;
arg234411;y;fairness;7;;;;
arg542561;y;authority;7;fairness;7;;
arg561672;y;fairness;7;;;;
arg660921;y;loyalty;7;authority;7;;
arg33060;y;care;6;;;;
arg33075;y;care;7;;;;
arg33082;y;care;7;;;;
arg33089;y;care;8;;;;
