#id;moral;MF1;Confidence1;MF2;Confidence2
arg219206;y;care;7;;
arg219225;y;purity;1;;
arg219242;n;;8;;
arg219244;y;purity;3;;
arg219245;n;;9;;
arg219250;n;;7;;
arg219258;y;care;9;;
arg219259;y;purity;4;;
arg219268;n;;9;;
arg219293;y;fairness;0;;
arg219204;y;purity;8;;
arg219210;n;;7;;
arg219213;y;purity;4;;
arg219220;y;care;8;;
arg219227;y;purity;6;;
arg219232;n;;9;;
arg219233;y;care;8;purity;8
arg219254;n;;8;;
arg219261;n;;9;;
arg219292;n;;8;;
arg229241;n;;1;;
arg229484;n;;8;;
arg231491;n;;3;;
arg231620;n;;9;;
arg240623;n;;4;;
arg240625;n;;5;;
arg246334;n;;0;;
arg270902;y;care;5;;
arg439197;y;None;0;;
arg575745;n;;1;;
arg229317;y;None;3;;
arg230311;y;purity;6;;
arg234318;y;care;2;;
arg236317;y;authority;3;;
arg236641;y;purity;0;;
arg244440;y;fairness;4;;
arg289787;n;;2;;
arg317490;y;purity;3;;
arg636360;n;;5;;
arg644073;y;care;9;;
12567;n;;7;;
12580;n;;7;;
12589;n;;7;;
12592;n;;8;;
28068;n;;6;;
44125;n;;8;;
68938;n;;5;;
70818;n;;7;;
70855;n;;6;;
71559;n;;4;;
578317615;n;;2;;
794;n;;6;;
79918;n;;9;;
800;n;;2;;
804;n;;0;;
80854;n;;5;;
814;n;;8;;
817;n;;2;;
822;n;;5;;
823;n;;8;;
33757;n;;0;;
389;y;loyalty;0;;
390;n;;4;;
405;n;;3;;
415;n;;9;;
458;n;;5;;
460;n;;7;;
468;n;;2;;
477;n;;1;;
76359;n;;9;;
12365;n;;6;;
12367;n;;8;;
12371;n;;5;;
12380;n;;8;;
12383;n;;7;;
12388;n;;0;;
33187;n;;8;;
65125;n;;9;;
65191;n;;9;;
71467;n;;0;;
30529;y;None;0;;
33506;y;fairness;3;;
46238;y;loyalty;1;;
530;y;fairness;2;;
541;y;None;0;;
63084;y;authority;0;;
67160;y;fairness;9;;
73625;y;care;5;authority;4
76758;y;purity;4;care;2
80510;y;authority;3;;
12402;n;;4;;
12414;y;purity;5;authority;3
12421;y;None;0;;
12430;y;purity;4;;
12431;n;;1;;
12466;n;;0;;
31527;y;authority;0;;
42624;y;fairness;3;;
69708;n;;0;;
76796;y;authority;1;;
arg334934;y;care;6;;
arg334943;y;care;2;;
arg334968;y;care;4;;
arg335030;n;;0;;
arg335091;n;;1;;
arg335095;n;;3;;
arg335129;y;fairness;0;;
arg335564;y;care;8;authority;5
arg336179;y;care;5;;
arg336204;y;authority;5;;
arg334884;y;authority;0;;
arg334924;n;;0;;
arg334959;y;care;0;;
arg334973;n;;0;;
arg335047;y;authority;3;;
arg335089;y;None;1;;
arg335090;y;care;1;;
arg335097;y;care;1;;
arg336222;y;authority;1;;
arg336563;y;care;0;;
arg33226;y;loyalty;6;;
arg33233;y;loyalty;7;;
arg33243;y;loyalty;3;;
arg33270;y;loyalty;5;;
arg33279;n;;1;;
arg33285;y;None;0;;
